,Rio de Janeiro,Ushuaia,El Calafate,Bariloche,Santiago,Buenos Aires,Montevideo,Punta del Este,Vina del Mar,Valparaiso,San Pedro de Atacama,Uyuni,La Paz,Cusco,Assuncao
Rio de Janeiro,0,2531,2600.0,1730.0,2050.0,1600.0,1850.0,2150.0,2150.0,2151.0,2160.0,2650.0,1900.0,3075.0,1200.0
Ushuaia,0,0,580.0,2100.0,2800.0,1230.0,1965.0,1625.0,2428.0,2380.0,3650.0,4527.0,2810.0,3600.0,2248.0
El Calafate,0,0,0.0,1520.0,2720.0,1313.0,1750.0,1938.0,2910.0,2870.0,4083.0,4530.0,3063.0,5126.0,2160.0
Bariloche,0,0,0.0,0.0,1580.0,974.0,1650.0,2100.0,1700.0,1700.0,3682.0,4446.0,2700.0,3655.0,2070.0
Santiago,0,0,0.0,0.0,0.0,1030.0,1660.0,1860.0,1700.0,169.0,1330.0,2500.0,1240.0,2060.0,1600.0
Buenos Aires,0,0,0.0,0.0,0.0,0.0,460.0,720.0,1390.0,950.0,2610.0,3518.0,1937.0,2484.0,1530.0
Montevideo,0,0,0.0,0.0,0.0,0.0,0.0,230.0,1830.0,1800.0,2800.0,2965.0,2144.0,2374.0,1310.0
Punta del Este,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2370.0,2974.0,4978.0,1920.0,2476.0,694.0,18.0
Vina del Mar,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,2500.0,1390.0,2673.0,1986.0,1486.0
Valparaiso,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,2400.0,1250.0,2300.0,1700.0
San Pedro de Atacama,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2150.0,1980.0,2820.0,2200.0
Uyuni,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,1110.0,2070.0
La Paz,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,1970.0
Cusco,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2070.0
Assuncao,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
