,Ushuaia,El Calafate,Bariloche,Santiago,Buenos Aires,Montevideo,Punta del Leste,Vina del Mar,Valparaiso,San Pedro de Atacama,Uyuni,La Paz,Cusco,Assunção
Ushuaia,0,plane,plane,plane,plane,plane,plane_bus,plane_bus,plane_bus,plane_bus,plane,plane,plane,plane
El Calafate,0,0,plane,plane,plane,plane,plane_bus,plane_bus,plane_bus,plane_bus,plane_train,plane,plane,plane
Bariloche,0,0,0,plane_bus,plane,plane,plane,plane_bus,plane_bus,plane_bus,plane,bus,plane,plane
Santiago,0,0,0,0,plane,plane,plane,plane,plane,plane_bus,plane_bus,plane_bus,plane_bus,plane
Buenos Aires,0,0,0,0,0,plane,plane,plane,plane,plane,plane,plane,plane_bus,plane_bus
Montevideo,0,0,0,0,0,0,plane_bus,plane_bus,plane_train,plane,plane,plane,plane_bus,plane
Punta del Leste,0,0,0,0,0,0,0,plane,plane,plane_bus,plane_bus,plane_bus,plane,bus
Vina del Mar,0,0,0,0,0,0,0,0,plane,plane,plane,plane,plane_bus,plane_bus
Valparaiso,0,0,0,0,0,0,0,0,0,plane_bus,plane_bus,plane_train,plane,plane
San Pedro de Atacama,0,0,0,0,0,0,0,0,0,0,plane,plane_bus,plane,plane
Uyuni,0,0,0,0,0,0,0,0,0,0,0,plane,plane_bus,plane_bus
La Paz,0,0,0,0,0,0,0,0,0,0,0,0,plane_bus,plane
Cusco,0,0,0,0,0,0,0,0,0,0,0,0,0,bus
Assunção,0,0,0,0,0,0,0,0,0,0,0,0,0,0
