latitude,longitude,city
-22.9112728,-43.4484478,Rio de Janeiro
-54.805405,-68.3028033,Ushuaia
-50.3283069,-72.29782,El Calafate
-41.1349212,-71.3399145,Bariloche
-33.4520839,-70.6585017,Santiago
-34.6158238,-58.4333203,Buenos Aires
-34.8199428,-56.230206,Montevideo
-34.9425137,-54.911874,Punta del Este
-33.0055289,-71.5301544,Vina del Mar
-33.0507081,-71.6110485,Valparaiso
-22.9140142,-68.1986646,San Pedro de Atacama
-20.460709,-66.827302,Uyuni
-16.5207124,-68.0915129,La Paz
-13.5300193,-71.9392491,Cusco
-25.2968526,-57.5980891,Assunção
